strategy,runs,termination_rate,cleanup_time_mean,cleanup_time_std,objective_mean,objective_std,sent_mean,sent_std,disposed_mean,disposed_std,comm_1_sent_mean,comm_2_sent_mean,comm_1_consumed_mean,comm_2_consumed_mean
comm,30,6.666666666666667,15.133333333333333,70.89804886831044,-249.06,172.78341355581557,66.63333333333334,34.57673458718512,2.933333333333333,0.9802650357071221,11.066666666666666,55.56666666666667,11.033333333333333,0.0
memory_no_comm,30,0.0,-1.0,0.0,-311.6666666666667,134.96061579620905,0.0,0.0,2.433333333333333,1.1651056880677462,0.0,0.0,0.0,0.0
random_no_comm,30,0.0,-1.0,0.0,-563.6666666666666,63.59805534509811,0.0,0.0,0.16666666666666666,0.5306686305052324,0.0,0.0,0.0,0.0
